task,model_name,difficulty,time_seconds,input_tokens,output_tokens,api_cost,quality_accuracy,quality_completeness,quality_clarity,quality_consistency,quality_score
customer_email,Model-A,routine,3.68,378,139,0.0398,9,7,9,7,8.0
customer_email,Model-A,routine,4.5,499,157,0.0485,8,7,7,8,7.5
customer_email,Model-A,routine,3.09,588,130,0.0489,8,7,9,7,7.75
customer_email,Model-A,routine,4.0,440,224,0.0556,9,9,7,7,8.0
customer_email,Model-A,routine,4.59,599,165,0.0547,8,7,7,9,7.75
customer_email,Model-B,routine,4.77,550,225,0.098,9,9,7,8,8.25
customer_email,Model-B,routine,2.48,529,147,0.0776,8,7,8,7,7.5
customer_email,Model-B,routine,2.6,585,237,0.1037,8,8,7,7,7.5
customer_email,Model-B,routine,2.07,399,222,0.0852,8,8,7,8,7.75
customer_email,Model-B,routine,3.05,480,222,0.0917,9,9,8,7,8.25
customer_email,Model-A,complex,4.46,833,295,0.0859,6,4,4,7,5.25
customer_email,Model-A,complex,5.38,860,361,0.0972,4,7,5,6,5.5
customer_email,Model-A,complex,4.18,923,250,0.0837,5,6,7,4,5.5
customer_email,Model-A,complex,7.8,869,409,0.1048,6,4,6,6,5.5
customer_email,Model-A,complex,6.67,867,353,0.0963,6,5,5,7,5.75
customer_email,Model-B,complex,6.66,894,423,0.173,5,6,7,4,5.5
customer_email,Model-B,complex,5.22,807,360,0.151,6,7,7,7,6.75
customer_email,Model-B,complex,6.7,961,371,0.1659,5,4,6,6,5.25
customer_email,Model-B,complex,4.37,1084,310,0.1611,6,5,5,5,5.25
customer_email,Model-B,complex,4.1,825,371,0.155,4,7,7,5,5.75
document_summary,Model-A,routine,5.87,1393,306,0.1155,8,7,7,9,7.75
document_summary,Model-A,routine,5.75,1768,207,0.1195,8,7,7,9,7.75
document_summary,Model-A,routine,5.07,1051,322,0.1008,7,7,8,7,7.25
document_summary,Model-A,routine,6.21,1683,315,0.1314,9,9,8,8,8.5
document_summary,Model-A,routine,5.45,1736,309,0.1331,8,9,8,7,8.0
document_summary,Model-B,routine,5.97,1486,295,0.1897,8,7,9,8,8.0
document_summary,Model-B,routine,6.06,1533,304,0.1956,9,7,8,8,8.0
document_summary,Model-B,routine,3.31,1292,240,0.161,8,8,8,9,8.25
document_summary,Model-B,routine,3.32,1154,239,0.1497,8,9,7,9,8.25
document_summary,Model-B,routine,3.86,1424,284,0.1821,8,9,8,8,8.25
document_summary,Model-A,complex,6.44,2860,449,0.2103,4,7,7,4,5.5
document_summary,Model-A,complex,12.6,2611,542,0.2119,7,7,5,7,6.5
document_summary,Model-A,complex,7.54,2892,474,0.2157,4,7,6,7,6.0
document_summary,Model-A,complex,11.07,2957,585,0.2356,5,4,7,4,5.0
document_summary,Model-A,complex,6.59,2877,384,0.2015,7,5,4,6,5.5
document_summary,Model-B,complex,8.65,2433,466,0.3065,6,6,7,6,6.25
document_summary,Model-B,complex,11.26,2863,414,0.3284,4,7,4,4,4.75
document_summary,Model-B,complex,13.0,2716,407,0.315,4,4,4,5,4.25
document_summary,Model-B,complex,7.4,2041,509,0.2854,5,5,5,7,5.5
document_summary,Model-B,complex,10.69,3155,592,0.3945,5,7,6,6,6.0
data_extraction,Model-A,routine,2.34,710,74,0.0466,7,8,7,9,7.75
data_extraction,Model-A,routine,2.05,559,133,0.0479,9,8,8,9,8.5
data_extraction,Model-A,routine,2.4,703,148,0.0573,9,7,7,9,8.0
data_extraction,Model-A,routine,3.54,835,147,0.0638,9,7,9,7,8.0
data_extraction,Model-A,routine,2.69,619,144,0.0525,8,7,9,9,8.25
data_extraction,Model-B,routine,2.68,834,113,0.0938,8,7,8,8,7.75
data_extraction,Model-B,routine,3.27,824,118,0.0942,9,7,8,7,7.75
data_extraction,Model-B,routine,3.47,894,143,0.1058,8,9,9,8,8.5
data_extraction,Model-B,routine,2.93,822,135,0.0982,8,8,7,7,7.5
data_extraction,Model-B,routine,2.56,630,91,0.0722,8,9,9,9,8.75
data_extraction,Model-A,complex,5.89,1029,276,0.0928,6,5,6,5,5.5
data_extraction,Model-A,complex,5.77,1264,237,0.0988,6,7,7,6,6.5
data_extraction,Model-A,complex,6.78,1529,198,0.1062,5,5,7,6,5.75
data_extraction,Model-A,complex,6.44,1776,211,0.1205,7,6,7,7,6.75
data_extraction,Model-A,complex,6.45,1017,173,0.0768,6,5,6,7,6.0
data_extraction,Model-B,complex,5.22,1679,298,0.2058,6,6,7,7,6.5
data_extraction,Model-B,complex,5.72,1763,290,0.2106,6,6,7,6,6.25
data_extraction,Model-B,complex,5.35,1257,209,0.1507,5,7,5,6,5.75
data_extraction,Model-B,complex,4.6,1548,197,0.1711,5,5,7,6,5.75
data_extraction,Model-B,complex,5.38,1603,284,0.1964,7,6,5,5,5.75
