task,worker_id,difficulty,time_seconds,labor_cost,quality_accuracy,quality_completeness,quality_clarity,quality_consistency,quality_score
customer_email,H01,routine,363,8.89,9,8,8,8,8.25
customer_email,H02,routine,388,8.82,7,10,7,7,7.75
customer_email,H03,routine,223,9.75,7,8,10,8,8.25
customer_email,H04,routine,314,12.71,7,8,10,9,8.5
customer_email,H05,routine,271,9.24,9,7,7,10,8.25
customer_email,H06,routine,224,10.87,9,9,7,10,8.75
customer_email,H07,routine,337,9.0,10,7,9,9,8.75
customer_email,H08,routine,347,9.54,7,7,8,9,7.75
customer_email,H09,routine,220,14.84,7,10,9,10,9.0
customer_email,H10,routine,362,14.67,8,9,9,8,8.5
customer_email,H11,routine,371,10.14,7,8,8,8,7.75
customer_email,H12,routine,318,11.04,8,9,7,8,8.0
customer_email,H13,routine,410,8.26,9,10,9,7,8.75
customer_email,H14,routine,254,15.31,9,8,10,10,9.25
customer_email,H15,complex,654,18.0,7,7,8,9,7.75
customer_email,H16,complex,718,21.59,7,7,9,6,7.25
customer_email,H17,complex,444,28.06,7,7,9,6,7.25
customer_email,H18,complex,617,21.34,9,8,6,6,7.25
customer_email,H19,complex,694,26.51,8,6,8,9,7.75
customer_email,H20,complex,500,22.35,8,7,6,8,7.25
document_summary,H01,routine,509,23.31,7,8,7,9,7.75
document_summary,H02,routine,521,27.02,9,8,8,7,8.0
document_summary,H03,routine,307,27.15,8,7,7,7,7.25
document_summary,H04,routine,540,27.36,7,9,8,7,7.75
document_summary,H05,routine,522,25.19,7,9,8,9,8.25
document_summary,H06,routine,334,19.18,9,8,7,9,8.25
document_summary,H07,routine,352,24.56,8,9,9,8,8.5
document_summary,H08,routine,474,26.8,8,7,7,7,7.25
document_summary,H09,routine,282,20.06,9,9,7,9,8.5
document_summary,H10,routine,362,16.09,9,9,7,7,8.0
document_summary,H11,routine,284,26.87,8,7,9,7,7.75
document_summary,H12,routine,392,24.03,7,9,7,9,8.0
document_summary,H13,routine,542,22.91,7,8,8,7,7.5
document_summary,H14,routine,298,17.16,8,8,8,8,8.0
document_summary,H15,complex,1028,51.32,6,6,6,9,6.75
document_summary,H16,complex,897,49.62,6,7,7,7,6.75
document_summary,H17,complex,1099,40.11,9,7,8,9,8.25
document_summary,H18,complex,805,51.61,6,9,6,6,6.75
document_summary,H19,complex,565,54.16,7,7,9,9,8.0
document_summary,H20,complex,1042,33.77,9,6,7,9,7.75
data_extraction,H01,routine,150,13.88,8,8,8,8,8.0
data_extraction,H02,routine,328,13.66,9,9,9,8,8.75
data_extraction,H03,routine,189,7.52,7,7,9,9,8.0
data_extraction,H04,routine,288,6.49,8,7,7,9,7.75
data_extraction,H05,routine,272,10.02,9,7,7,9,8.0
data_extraction,H06,routine,170,12.81,7,9,7,9,8.0
data_extraction,H07,routine,210,9.23,9,7,9,9,8.5
data_extraction,H08,routine,160,10.96,8,9,9,9,8.75
data_extraction,H09,routine,283,8.53,8,7,9,9,8.25
data_extraction,H10,routine,230,7.91,8,7,9,9,8.25
data_extraction,H11,routine,226,9.66,7,7,8,9,7.75
data_extraction,H12,routine,294,13.97,7,9,7,9,8.0
data_extraction,H13,routine,217,7.06,8,7,7,8,7.5
data_extraction,H14,routine,222,7.26,9,9,8,9,8.75
data_extraction,H15,complex,620,14.11,8,7,8,6,7.25
data_extraction,H16,complex,418,17.7,6,8,8,6,7.0
data_extraction,H17,complex,489,17.94,6,8,7,6,6.75
data_extraction,H18,complex,485,21.08,7,6,6,8,6.75
data_extraction,H19,complex,566,25.61,6,6,7,6,6.25
data_extraction,H20,complex,484,16.26,7,8,8,7,7.5
